v1	Ix(U1:A)
2.000000000000000e-001	-5.850375e-013
3.000000000000000e-001	-1.405757e-011
4.000000000000000e-001	-6.262451e-010
5.000000000000000e-001	-1.345425e-008
6.000000000000000e-001	-5.347218e-008
7.000000000000000e-001	-1.061532e-007
7.999999999999999e-001	-1.973201e-007
8.999999999999999e-001	-6.752506e-007
9.999999999999999e-001	-2.786436e-006
1.100000000000000e+000	-7.677617e-006
1.200000000000000e+000	-1.467268e-005
1.300000000000000e+000	-2.281920e-005
1.400000000000000e+000	-3.160738e-005
1.500000000000000e+000	-4.078662e-005
